Key,Text
SELECT_1,"지금까지 홀로 강해져왔지만,\n이제는 옆에서 누군가 나와 같이 성장해주었으면 한다!"
SELECT_2,"유니온 관리자, 용잡이 Ms.어카운트가 소개팅을 시켜주었다!\n상대는 바로..."
SELECT_PICK,연애 상대를 선택하세요
SELECT_3,"""{partner}씨를 소개받았다!\n말을 나눌수록 나와 잘 통한다는 것이 느껴졌다!"""
SELECT_LEAD,저녁을 먹고 나오는 길에 나는...
SELECT_SUCCESS,"사귀자고 고백을 하였다!\n{partner}씨는 처음엔 망설였지만, 결국 내 제안을 수락했다!\n\n오늘부터 1일이다!\n주스탯이 30만큼 오르고, 공격력/마력이 10만큼 올랐다."
SELECT_GREAT,"프로포즈를 하였다!\n{partner}씨는 처음엔 놀라워하다가, 기뻐하며 내 제안을 수락했다!\n\n주변에서 우리의 결혼을 축복해주었다!\n[버프]웨딩 팡파르를 얻었다!\n주스탯이 30만큼 오르고 공격력/마력이 10만큼 올랐다."
MARRY_1,"연애를 하면 할수록, 이 사람과 더 같이 있고 싶다는 생각이 들었다!"
MARRY_2,"근사한 곳에서 밥을 먹고,\n반지를 내밀며 프로포즈를 하였다!"
MARRY_3,"""{partner}씨는 기뻐하며 내 제안을 수락했다!\n주변에서 우리의 결혼을 축복해주었다!\n[버프]웨딩 팡파르를 얻었다!"""
DATE_1,"""오늘은 쉬는 날!\n나는 오늘 연인과..."""
DATE_LEAD,"""{place}으로 데이트를 갔다!\n오늘의 데이트는..."""
DATE_FAIL,"""오늘의 데이트는 엉망이었다!\n집으로 돌아가 머리를 차갑게 식혔다..."""
DATE_SUCCESS,"""오늘의 데이트는 즐거웠다!\n쉬는 날을 연인과 즐겁게 보낸 것 같다!\n\n{placedesc}"""
DATE_GREAT,"오늘의 데이트는 무척이나 즐거웠다!\n즐거운 분위기를 읽은 것일까? 새로운 가족이 찾아왔다!\n\n가족 구성원이 1명 늘어나고, 주스탯이 10만큼 올랐다!\n{placedesc}"
UNION_1,"가족이 많이 늘어나,\n이정도면 유니온 창설 신청을 해보아도 될 것 같다고 판단했다!"
UNION_2,"유니온 관리자에게 검토를 받은 결과,\n충분하다며 유니온 창설을 허가해주었다!"
UNION_3,"""우리 가족이 조금 더 끈끈해진 것 같다!\n[버프]유니온의 힘을 얻었다!"""
